Community_id,Density,Fraud_Density,Score,N_Nodes,N_Edges,N_Nodes_bins,N_Edges_bins,count,weight_count,type,pct
46,0.08,0.08421052631578947,0.11511361941632445,25,24,Low,Low,9,0.0,part_of,0.0
46,0.08,0.08421052631578947,0.11511361941632445,25,24,Low,Low,7,0.0,originated_at,0.0
47,0.2857142857142857,0.26666666666666666,0.3883766276114334,7,6,Low,Low,2,0.0,part_of_mismatch,0.0
47,0.2857142857142857,0.26666666666666666,0.3883766276114334,7,6,Low,Low,2,1.0,part_of_manifest,50.0
47,0.2857142857142857,0.26666666666666666,0.3883766276114334,7,6,Low,Low,2,1.0,originated_at,50.0
48,0.007485069674850697,0.006527765358132881,0.010310829203058248,275,282,Low,Low,75,0.0,part_of,0.0
48,0.007485069674850697,0.006527765358132881,0.010310829203058248,275,282,Low,Low,71,4.0,originated_at,5.633802816901409
49,0.02123683316343867,0.01904761904761905,0.02943131177871021,109,125,Low,Low,35,0.0,part_of_mismatch,0.0
49,0.02123683316343867,0.01904761904761905,0.02943131177871021,109,125,Low,Low,35,1.0,part_of_manifest,2.857142857142857
49,0.02123683316343867,0.01904761904761905,0.02943131177871021,109,125,Low,Low,28,22.0,originated_at,78.57142857142857
49,0.02123683316343867,0.01904761904761905,0.02943131177871021,109,125,Low,Low,5,0.0,owns,0.0
50,0.018910913647755753,0.009754775775640157,0.023126829550789284,133,166,Low,Low,54,38.0,part_of_mismatch,70.37037037037037
50,0.018910913647755753,0.009754775775640157,0.023126829550789284,133,166,Low,Low,54,39.0,part_of_manifest,72.22222222222221
50,0.018910913647755753,0.009754775775640157,0.023126829550789284,133,166,Low,Low,53,10.0,originated_at,18.867924528301888
50,0.018910913647755753,0.009754775775640157,0.023126829550789284,133,166,Low,Low,3,0.0,owns,0.0
51,0.010096083499975613,0.010860689204638249,0.01478739133775223,203,207,Low,Low,71,0.0,part_of_mismatch,0.0
51,0.010096083499975613,0.010860689204638249,0.01478739133775223,203,207,Low,Low,71,4.0,part_of_manifest,5.633802816901409
