Community_id,Density,Fraud_Density,Score,N_Nodes,N_Edges,mailer_nodes,owner_nodes,origin_nodes,label_nodes,mailPiece_nodes,mails_edges,owns_edges,originated_at_edges,part_of_edges,destination_nodes,goes_to_edges,originated_at_fraud_pct,owns_fraud_pct,part_of_manifest_fraud_pct,part_of_mismatch_fraud_pct,mailer_nodes_perc,owner_nodes_perc,origin_nodes_perc,label_nodes_perc,mailPiece_nodes_perc,destination_nodes_perc,mails_edges_perc,owns_edges_perc,originated_at_edges_perc,part_of_edges_perc,goes_to_edges_perc
23,0.010029444239970556,0.00041405962458594036,0.0020378390311326924,209,218,2.0,0.0,28.0,69,69,30.0,0.0,55.0,69,41.0,64.0,16.363636363636363,0.0,0.0,0.0,0.009569377990430622,0.0,0.1339712918660287,0.33014354066985646,0.33014354066985646,0.19617224880382775,0.13761467889908258,0.0,0.25229357798165136,0.3165137614678899,0.29357798165137616
43,0.007385596859281069,0.0004662004662004662,0.0018555777264683722,286,301,3.0,1.0,51.0,89,89,55.0,1.0,76.0,89,53.0,80.0,17.105263157894736,0.0,6.741573033707865,0.0,0.01048951048951049,0.0034965034965034965,0.17832167832167833,0.3111888111888112,0.3111888111888112,0.1853146853146853,0.18272425249169436,0.0033222591362126247,0.25249169435215946,0.2956810631229236,0.26578073089701
28,0.009378856437679967,0.00032908268202385847,0.0017568207736785373,221,228,2.0,1.0,36.0,69,69,38.0,1.0,55.0,69,44.0,65.0,14.545454545454545,0.0,0.0,0.0,0.00904977375565611,0.004524886877828055,0.16289592760180996,0.31221719457013575,0.31221719457013575,0.19909502262443438,0.16666666666666666,0.0043859649122807015,0.2412280701754386,0.3026315789473684,0.2850877192982456
4,0.0028089777285388207,0.0008446576386515335,0.0015403325924008583,714,715,2.0,0.0,20.0,255,255,2.0,0.0,228.0,255,182.0,230.0,93.42105263157895,0.0,0.7843137254901961,0.0,0.0028011204481792717,0.0,0.028011204481792718,0.35714285714285715,0.35714285714285715,0.2549019607843137,0.002797202797202797,0.0,0.31888111888111886,0.35664335664335667,0.32167832167832167
31,0.007804459691252144,0.0002858776443682104,0.001493693593780804,265,273,1.0,0.0,40.0,89,89,41.0,0.0,62.0,89,46.0,81.0,14.516129032258066,0.0,1.1235955056179776,0.0,0.0037735849056603774,0.0,0.1509433962264151,0.33584905660377357,0.33584905660377357,0.17358490566037735,0.15018315018315018,0.0,0.2271062271062271,0.326007326007326,0.2967032967032967
8,0.008191235059760956,0.00022310756972111553,0.0013518604022596651,251,257,1.0,0.0,46.0,77,77,45.0,0.0,60.0,77,50.0,75.0,11.666666666666666,0.0,0.0,0.0,0.00398406374501992,0.0,0.18326693227091634,0.30677290836653387,0.30677290836653387,0.199203187250996,0.17509727626459143,0.0,0.23346303501945526,0.29961089494163423,0.2918287937743191
48,0.007485069674850697,0.00010617120106171201,0.0008914588254145542,275,282,1.0,0.0,61.0,75,75,63.0,0.0,71.0,75,63.0,73.0,5.633802816901409,0.0,0.0,0.0,0.0036363636363636364,0.0,0.22181818181818183,0.2727272727272727,0.2727272727272727,0.2290909090909091,0.22340425531914893,0.0,0.25177304964539005,0.26595744680851063,0.25886524822695034
52,0.0019138755980861245,0.00040559701281754347,0.0008810574473257243,1331,1694,3.0,2.0,48.0,471,471,359.0,2.0,408.0,471,336.0,454.0,87.99019607843137,0.0,0.0,0.0,0.002253944402704733,0.0015026296018031556,0.03606311044327573,0.3538692712246431,0.3538692712246431,0.25244177310293014,0.21192443919716647,0.0011806375442739079,0.2408500590318772,0.2780401416765053,0.2680047225501771
61,0.004152884081415844,0.00013681982438773128,0.0007537883461038121,499,516,1.0,0.0,103.0,146,146,109.0,0.0,124.0,146,103.0,137.0,13.709677419354838,0.0,0.0,0.0,0.002004008016032064,0.0,0.20641282565130262,0.2925851703406814,0.2925851703406814,0.20641282565130262,0.21124031007751937,0.0,0.24031007751937986,0.28294573643410853,0.2655038759689923
26,0.005210373271615928,9.494985460803512e-05,0.0007033663231869469,411,439,1.0,0.0,66.0,135,135,71.0,0.0,106.0,135,74.0,127.0,6.60377358490566,0.0,0.7407407407407408,0.0,0.0024330900243309003,0.0,0.16058394160583941,0.3284671532846715,0.3284671532846715,0.18004866180048662,0.16173120728929385,0.0,0.24145785876993167,0.30751708428246016,0.28929384965831434
